Scraping @mmirleb...
  Page 1: 8 msgs, oldest: 2026-03-26, id range: 12982-12965
  Page 2: 8 msgs, oldest: 2026-03-26, id range: 12979-12962
  Page 3: 8 msgs, oldest: 2026-03-26, id range: 12976-12959
  Page 4: 8 msgs, oldest: 2026-03-26, id range: 12973-12956
  Page 5: 8 msgs, oldest: 2026-03-26, id range: 12970-12953
  Page 6: 8 msgs, oldest: , id range: 12969-12950
  Page 7: 7 msgs, oldest: , id range: 12968-12950
  Page 8: 6 msgs, oldest: 2026-03-26, id range: 12965-12950
  Page 9: 6 msgs, oldest: 2026-03-26, id range: 12962-12947
  Page 10: 6 msgs, oldest: 2026-03-26, id range: 12959-12944
  Page 11: 6 msgs, oldest: 2026-03-26, id range: 12956-12941
  Page 12: 6 msgs, oldest: 2026-03-26, id range: 12953-12938
  Page 13: 6 msgs, oldest: 2026-03-26, id range: 12950-12935
  Page 14: 6 msgs, oldest: 2026-03-26, id range: 12947-12932
  Page 15: 6 msgs, oldest: 2026-03-26, id range: 12944-12929
  Page 16: 6 msgs, oldest: 2026-03-26, id range: 12941-12926
  Page 17: 6 msgs, oldest: 2026-03-26, id range: 12938-12923
  Page 18: 6 msgs, oldest: 2026-03-26, id range: 12935-12920
  Page 19: 6 msgs, oldest: 2026-03-26, id range: 12932-12917
  Page 20: 6 msgs, oldest: 2026-03-26, id range: 12929-12914
  Page 21: 6 msgs, oldest: 2026-03-26, id range: 12926-12911
  Page 22: 6 msgs, oldest: 2026-03-26, id range: 12923-12908
  Page 23: 6 msgs, oldest: 2026-03-26, id range: 12920-12905
  Page 24: 7 msgs, oldest: 2026-03-26, id range: 12917-12900
  Page 25: 7 msgs, oldest: 2026-03-26, id range: 12914-12897
  Page 26: 7 msgs, oldest: 2026-03-26, id range: 12911-12894
  Page 27: 7 msgs, oldest: 2026-03-26, id range: 12908-12891
  Page 28: 7 msgs, oldest: 2026-03-26, id range: 12905-12888
  Page 29: 7 msgs, oldest: 2026-03-26, id range: 12902-12885
  Page 30: 7 msgs, oldest: 2026-03-26, id range: 12900-12882
  Page 31: 6 msgs, oldest: 2026-03-26, id range: 12897-12882
  Page 32: 7 msgs, oldest: 2026-03-26, id range: 12894-12877
  Page 33: 7 msgs, oldest: 2026-03-26, id range: 12891-12875
  Page 34: 9 msgs, oldest: 2026-03-26, id range: 12888-12870
  Page 35: 10 msgs, oldest: 2026-03-26, id range: 12885-12868
  Page 36: 10 msgs, oldest: 2026-03-26, id range: 12882-12865
  Page 37: 10 msgs, oldest: 2026-03-26, id range: 12879-12862
  Page 38: 10 msgs, oldest: 2026-03-25, id range: 12877-12859
  Page 39: 10 msgs, oldest: 2026-03-25, id range: 12875-12856
  Page 40: 9 msgs, oldest: 2026-03-25, id range: 12872-12856
  Page 41: 9 msgs, oldest: 2026-03-25, id range: 12871-12853
  Page 42: 8 msgs, oldest: 2026-03-25, id range: 12870-12853
  Page 43: 8 msgs, oldest: 2026-03-25, id range: 12869-12850
  Page 44: 7 msgs, oldest: 2026-03-25, id range: 12868-12850
  Page 45: 6 msgs, oldest: 2026-03-25, id range: 12865-12850
  Page 46: 6 msgs, oldest: 2026-03-25, id range: 12862-12847
  Page 47: 6 msgs, oldest: 2026-03-25, id range: 12859-12844
  Page 48: 6 msgs, oldest: 2026-03-25, id range: 12856-12841
  Page 49: 6 msgs, oldest: 2026-03-25, id range: 12853-12838
  Page 50: 7 msgs, oldest: 2026-03-25, id range: 12850-12833
  Page 51: 8 msgs, oldest: 2026-03-25, id range: 12847-12830
  Page 52: 8 msgs, oldest: 2026-03-25, id range: 12844-12827
  Page 53: 8 msgs, oldest: 2026-03-25, id range: 12841-12824
  Page 54: 8 msgs, oldest: 2026-03-25, id range: 12838-12819
  Page 55: 8 msgs, oldest: 2026-03-25, id range: 12835-12816
  Page 56: 8 msgs, oldest: 2026-03-25, id range: 12833-12813
  Page 57: 8 msgs, oldest: 2026-03-25, id range: 12831-12810
  Page 58: 8 msgs, oldest: 2026-03-25, id range: 12830-12807
  Page 59: 7 msgs, oldest: 2026-03-25, id range: 12827-12807
  Page 60: 6 msgs, oldest: 2026-03-25, id range: 12824-12807
  Page 61: 6 msgs, oldest: 2026-03-25, id range: 12819-12804
  Page 62: 7 msgs, oldest: 2026-03-25, id range: 12816-12800
  Page 63: 7 msgs, oldest: 2026-03-25, id range: 12813-12797
  Page 64: 7 msgs, oldest: 2026-03-25, id range: 12810-12794
  Page 65: 7 msgs, oldest: 2026-03-25, id range: 12807-12791
  Page 66: 7 msgs, oldest: 2026-03-25, id range: 12804-12788
  Page 67: 7 msgs, oldest: 2026-03-25, id range: 12801-12785
  Page 68: 7 msgs, oldest: , id range: 12800-12782
  Page 69: 6 msgs, oldest: 2026-03-25, id range: 12797-12782
  Page 70: 6 msgs, oldest: 2026-03-25, id range: 12794-12779
  Page 71: 6 msgs, oldest: 2026-03-25, id range: 12791-12776
  Page 72: 6 msgs, oldest: 2026-03-25, id range: 12788-12773
  Page 73: 6 msgs, oldest: 2026-03-25, id range: 12785-12770
  Page 74: 6 msgs, oldest: 2026-03-25, id range: 12782-12767
  Page 75: 6 msgs, oldest: 2026-03-25, id range: 12779-12763
  Page 76: 6 msgs, oldest: 2026-03-25, id range: 12776-12760
  Page 77: 6 msgs, oldest: 2026-03-25, id range: 12773-12757
  Page 78: 6 msgs, oldest: 2026-03-25, id range: 12770-12754
  Page 79: 6 msgs, oldest: 2026-03-25, id range: 12767-12751
  Page 80: 8 msgs, oldest: 2026-03-25, id range: 12763-12746
  Total: 563 scraped, 541 after cutoff filter
  @mmirleb: 390 loss entries from 541 messages
Scraping @C_Military1...
  Page 1: 12 msgs, oldest: 2026-03-26, id range: 82486-82469
  Page 2: 12 msgs, oldest: 2026-03-26, id range: 82485-82466
  Page 3: 12 msgs, oldest: 2026-03-26, id range: 82484-82465
  Page 4: 12 msgs, oldest: 2026-03-26, id range: 82483-82464
